,Unnamed: 0,Symbol,Wikipedia Link,Name,Sector,SEC Filings Link,CIK,Enterprise Value,Trailing P/E,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,EBITDA,Diluted EPS,Market Cap (intraday),Forward P/E,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding
308,308,PPL,https://en.wikipedia.org/wiki/wiki/PPL_Corp.,PPL Corp.,Utilities,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000922224&type=10-K&dateb=&owner=include&count=40,922224,39850000000.0,17.03,5.35,9.55,7450000000.0,4170000000.0,1.64,19380000000.0,11.45,0.56,28.32,33.13,6950000.0,6460000.0,694050000.0
309,309,PX,https://en.wikipedia.org/wiki/wiki/Praxair_Inc.,Praxair Inc.,Materials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000884905&type=10-K&dateb=&owner=include&count=40,884905,51950000000.0,33.14,4.54,14.1,11440000000.0,3680000000.0,4.32,41110000000.0,19.83,1.15,151.18,150.79,1890000.0,1320000.0,287140000.0
310,310,PFG,https://en.wikipedia.org/wiki/wiki/Principal_Financial_Group,Principal Financial Group,Financials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001126328&type=10-K&dateb=&owner=include&count=40,1126328,15650000000.0,7.56,1.11,6.0,14090000000.0,2610000000.0,7.88,17270000000.0,9.66,1.29,61.96,67.0,1550000.0,1740000.0,289660000.0
311,311,PG,https://en.wikipedia.org/wiki/wiki/Procter_%26_Gamble,Procter & Gamble,Consumer Staples,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000080424&type=10-K&dateb=&owner=include&count=40,80424,217770000000.0,20.92,3.31,12.21,65730000000.000015,17840000000.0,3.75,197720000000.0,17.35,0.42,79.19,86.84,10520000.0,10590000.0,2520000000.0
312,312,PGR,https://en.wikipedia.org/wiki/wiki/Progressive_Corp.,Progressive Corp.,Financials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000080661&type=10-K&dateb=&owner=include&count=40,80661,36230000000.0,22.07,1.35,14.32,26820000000.0,2530000000.0,2.72,34970000000.0,15.51,0.54,59.64,54.13,3720000.0,3320000.0,582390000.0
313,313,PLD,https://en.wikipedia.org/wiki/wiki/Prologis,Prologis,Real Estate,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001045609&type=10-K&dateb=&owner=include&count=40,1045609,43070000000.0,20.03,15.02,22.68,2870000000.0,1900000000.0,3.06,33050000000.0,37.8,1.17,61.89,63.72,2660000.0,2380000.0,533070000.00000006
314,314,PRU,https://en.wikipedia.org/wiki/wiki/Prudential_Financial,Prudential Financial,Financials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001137774&type=10-K&dateb=&owner=include&count=40,1137774,29670000000.0,5.73,0.49,3.63,61160000000.0,8180000000.0,17.86,43170000000.0,7.94,1.51,106.64,111.76,2290000.0,2140000.0,421880000.0
315,315,PEG,https://en.wikipedia.org/wiki/wiki/Public_Serv._Enterprise_Inc.,Public Serv. Enterprise Inc.,Utilities,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000788784&type=10-K&dateb=&owner=include&count=40,788784,37740000000.0,16.16,4.15,14.04,9080000000.0,2690000000.0,3.1,25290000000.0,15.61,0.4,48.75,49.53,3390000.0,2750000.0,504760000.0
316,316,PSA,https://en.wikipedia.org/wiki/wiki/Public_Storage,Public Storage,Real Estate,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001393311&type=10-K&dateb=&owner=include&count=40,1393311,38800000000.0,29.61,14.15,19.89,2740000000.0,1950000000.0,6.73,34740000000.0,26.02,0.41,196.71,203.87,1080000.0,,174080000.0
317,317,PHM,https://en.wikipedia.org/wiki/wiki/Pulte_Homes_Inc.,Pulte Homes Inc.,Consumer Discretionary,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000822416&type=10-K&dateb=&owner=include&count=40,822416,11550000000.0,20.81,1.35,9.82,8570000000.0,1180000000.0,1.44,8590000000.0,8.51,0.81,29.75,30.4,4880000.0,4430000.0,286170000.0
318,318,PVH,https://en.wikipedia.org/wiki/wiki/PVH_Corp.,PVH Corp.,Consumer Discretionary,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000078239&type=10-K&dateb=&owner=include&count=40,78239,13660000000.0,23.37,1.6,11.95,8520000000.0,1140000000.0,6.71,12070000000.0,15.1,0.69,145.84,137.83,,1700000.0,76990000.0
319,319,QRVO,https://en.wikipedia.org/wiki/wiki/Qorvo,Qorvo,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001604778&type=10-K&dateb=&owner=include&count=40,1604778,9440000000.0,315.48,3.2,11.33,2950000000.0,832900000.0,0.22,8820000000.0,11.19,0.95,77.77,73.75,2280000.0,1410000.0,126490000.0
320,320,PWR,https://en.wikipedia.org/wiki/wiki/Quanta_Services_Inc.,Quanta Services Inc.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001050915&type=10-K&dateb=&owner=include&count=40,1050915,6060000000.0,16.86,0.64,9.22,9470000000.0,657350000.0,2.0,5200000000.0,11.06,0.65,34.8,36.85,1600000.0,1220000.0,153740000.0
321,321,DGX,https://en.wikipedia.org/wiki/wiki/Quest_Diagnostics,Quest Diagnostics,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001022079&type=10-K&dateb=&owner=include&count=40,1022079,17860000000.0,17.7,2.32,11.49,7710000000.0,1550000000.0,5.5,13220000000.0,14.11,1.16,102.51,98.47,1020000.0,,135780000.0
322,322,RRC,https://en.wikipedia.org/wiki/wiki/Range_Resources,Range Resources Corp.,Energy,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000315852&type=10-K&dateb=&owner=include&count=40,315852,7810000000.0,10.41,3.26,6.26,2400000000.0,1250000000.0,1.34,3420000000.0,12.25,0.27,14.0,16.93,9240000.0,7450000.0,244790000.0
323,323,RTN,https://en.wikipedia.org/wiki/wiki/Raytheon_Co.,Raytheon Co.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001047122&type=10-K&dateb=&owner=include&count=40,1047122,61980000000.0,31.08,2.44,16.32,25350000000.0,3800000000.0,6.95,62290000000.0,19.31,0.63,214.23,196.31,1830000.0,1850000.0,288510000.0
